...1,state_fips,state,state_name,date,weekday,cadt,visits,enctr,enctr_b,baseline,enctr_base,enctr_base_b,enctr_n,enctr_n_b,first_4,stayhome_23_25,stayhomeE,stayhomeDay,stayhomeS,mandate_date,sah_state,adopt_delay,positive,positiveIncrease,totalTestResults,totalTestResultsIncrease,hospitalized,hospitalizedIncrease,death,deathIncrease,changeVent,changeIcu,dailyDeathsr,dailyDeathr_hunmil,dailyHospitalr,dailyHospitalr_hunmil,popul2019est,popul2010,poppm2010,poppm2019,share_dem,share_rep,rep_state,gov_party,gov_gender,full_rep,demgov_repstate,rep_gov,fem_gov,pct_inlf,pct_unemp,pct_pub_trans,pct_wfh,pct_serv,pct_off,pct_nr,pct_trans,pct_ag_min,pct_cons,pct_mfg,pct_whole,pct_retail,pct_hlth,pct_ent_fd,largest_city_rank,largest_city_pop
22,2,AK, Alaska,2020-02-12,4,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,2020-03-29,1,10,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,731545,710231,0.710231006145477,0.731544971466064,0.345957781445904,0.545900831557357,TRUE,rep,male,FALSE,FALSE,TRUE,FALSE,70.1058529747853,5.17067895347474,0.954234206487673,2.77363142725648,10.7109421072249,14.0935475008443,7.63562357709208,6.76381084708629,3.22511212645659,4.56572981505041,2.2397292515745,1.15617557349423,6.83223292204258,14.6657730382026,5.61830981725531,65,279428
23,2,AK, Alaska,2020-02-13,5,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,2020-03-29,1,10,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,731545,710231,0.710231006145477,0.731544971466064,0.345957781445904,0.545900831557357,TRUE,rep,male,FALSE,FALSE,TRUE,FALSE,70.1058529747853,5.17067895347474,0.954234206487673,2.77363142725648,10.7109421072249,14.0935475008443,7.63562357709208,6.76381084708629,3.22511212645659,4.56572981505041,2.2397292515745,1.15617557349423,6.83223292204258,14.6657730382026,5.61830981725531,65,279428
24,2,AK, Alaska,2020-02-14,6,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,2020-03-29,1,10,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,731545,710231,0.710231006145477,0.731544971466064,0.345957781445904,0.545900831557357,TRUE,rep,male,FALSE,FALSE,TRUE,FALSE,70.1058529747853,5.17067895347474,0.954234206487673,2.77363142725648,10.7109421072249,14.0935475008443,7.63562357709208,6.76381084708629,3.22511212645659,4.56572981505041,2.2397292515745,1.15617557349423,6.83223292204258,14.6657730382026,5.61830981725531,65,279428
25,2,AK, Alaska,2020-02-15,7,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,2020-03-29,1,10,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,731545,710231,0.710231006145477,0.731544971466064,0.345957781445904,0.545900831557357,TRUE,rep,male,FALSE,FALSE,TRUE,FALSE,70.1058529747853,5.17067895347474,0.954234206487673,2.77363142725648,10.7109421072249,14.0935475008443,7.63562357709208,6.76381084708629,3.22511212645659,4.56572981505041,2.2397292515745,1.15617557349423,6.83223292204258,14.6657730382026,5.61830981725531,65,279428
26,2,AK, Alaska,2020-02-16,1,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,2020-03-29,1,10,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,731545,710231,0.710231006145477,0.731544971466064,0.345957781445904,0.545900831557357,TRUE,rep,male,FALSE,FALSE,TRUE,FALSE,70.1058529747853,5.17067895347474,0.954234206487673,2.77363142725648,10.7109421072249,14.0935475008443,7.63562357709208,6.76381084708629,3.22511212645659,4.56572981505041,2.2397292515745,1.15617557349423,6.83223292204258,14.6657730382026,5.61830981725531,65,279428
27,2,AK, Alaska,2020-02-17,3,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,2020-03-29,1,10,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,731545,710231,0.710231006145477,0.731544971466064,0.345957781445904,0.545900831557357,TRUE,rep,male,FALSE,FALSE,TRUE,FALSE,70.1058529747853,5.17067895347474,0.954234206487673,2.77363142725648,10.7109421072249,14.0935475008443,7.63562357709208,6.76381084708629,3.22511212645659,4.56572981505041,2.2397292515745,1.15617557349423,6.83223292204258,14.6657730382026,5.61830981725531,65,279428
28,2,AK, Alaska,2020-02-18,3,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,2020-03-29,1,10,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,731545,710231,0.710231006145477,0.731544971466064,0.345957781445904,0.545900831557357,TRUE,rep,male,FALSE,FALSE,TRUE,FALSE,70.1058529747853,5.17067895347474,0.954234206487673,2.77363142725648,10.7109421072249,14.0935475008443,7.63562357709208,6.76381084708629,3.22511212645659,4.56572981505041,2.2397292515745,1.15617557349423,6.83223292204258,14.6657730382026,5.61830981725531,65,279428
29,2,AK, Alaska,2020-02-19,4,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,2020-03-29,1,10,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,731545,710231,0.710231006145477,0.731544971466064,0.345957781445904,0.545900831557357,TRUE,rep,male,FALSE,FALSE,TRUE,FALSE,70.1058529747853,5.17067895347474,0.954234206487673,2.77363142725648,10.7109421072249,14.0935475008443,7.63562357709208,6.76381084708629,3.22511212645659,4.56572981505041,2.2397292515745,1.15617557349423,6.83223292204258,14.6657730382026,5.61830981725531,65,279428
30,2,AK, Alaska,2020-02-20,5,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,2020-03-29,1,10,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,731545,710231,0.710231006145477,0.731544971466064,0.345957781445904,0.545900831557357,TRUE,rep,male,FALSE,FALSE,TRUE,FALSE,70.1058529747853,5.17067895347474,0.954234206487673,2.77363142725648,10.7109421072249,14.0935475008443,7.63562357709208,6.76381084708629,3.22511212645659,4.56572981505041,2.2397292515745,1.15617557349423,6.83223292204258,14.6657730382026,5.61830981725531,65,279428
31,2,AK, Alaska,2020-02-21,6,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,2020-03-29,1,10,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,731545,710231,0.710231006145477,0.731544971466064,0.345957781445904,0.545900831557357,TRUE,rep,male,FALSE,FALSE,TRUE,FALSE,70.1058529747853,5.17067895347474,0.954234206487673,2.77363142725648,10.7109421072249,14.0935475008443,7.63562357709208,6.76381084708629,3.22511212645659,4.56572981505041,2.2397292515745,1.15617557349423,6.83223292204258,14.6657730382026,5.61830981725531,65,279428
32,2,AK, Alaska,2020-02-22,7,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,2020-03-29,1,10,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,731545,710231,0.710231006145477,0.731544971466064,0.345957781445904,0.545900831557357,TRUE,rep,male,FALSE,FALSE,TRUE,FALSE,70.1058529747853,5.17067895347474,0.954234206487673,2.77363142725648,10.7109421072249,14.0935475008443,7.63562357709208,6.76381084708629,3.22511212645659,4.56572981505041,2.2397292515745,1.15617557349423,6.83223292204258,14.6657730382026,5.61830981725531,65,279428
33,2,AK, Alaska,2020-02-23,1,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,2020-03-29,1,10,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,731545,710231,0.710231006145477,0.731544971466064,0.345957781445904,0.545900831557357,TRUE,rep,male,FALSE,FALSE,TRUE,FALSE,70.1058529747853,5.17067895347474,0.954234206487673,2.77363142725648,10.7109421072249,14.0935475008443,7.63562357709208,6.76381084708629,3.22511212645659,4.56572981505041,2.2397292515745,1.15617557349423,6.83223292204258,14.6657730382026,5.61830981725531,65,279428
34,2,AK, Alaska,2020-02-24,2,3.18514541562639,-2.14004960436846,-99.6683227937607,0.003316772062393,1,-99.6565074009114,0.00343492599088596,-0.0118153928492859,-3.43978090958763,0,0,0,0,0,2020-03-29,1,10,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,731545,710231,0.710231006145477,0.731544971466064,0.345957781445904,0.545900831557357,TRUE,rep,male,FALSE,FALSE,TRUE,FALSE,70.1058529747853,5.17067895347474,0.954234206487673,2.77363142725648,10.7109421072249,14.0935475008443,7.63562357709208,6.76381084708629,3.22511212645659,4.56572981505041,2.2397292515745,1.15617557349423,6.83223292204258,14.6657730382026,5.61830981725531,65,279428
35,2,AK, Alaska,2020-02-25,3,2.37531790970413,2.00716475971514,-99.6679372699052,0.00332062730094829,1,-99.6565074009114,0.00343492599088596,-0.0114298689937584,-3.32754447231028,0,0,0,0,0,2020-03-29,1,10,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,731545,710231,0.710231006145477,0.731544971466064,0.345957781445904,0.545900831557357,TRUE,rep,male,FALSE,FALSE,TRUE,FALSE,70.1058529747853,5.17067895347474,0.954234206487673,2.77363142725648,10.7109421072249,14.0935475008443,7.63562357709208,6.76381084708629,3.22511212645659,4.56572981505041,2.2397292515745,1.15617557349423,6.83223292204258,14.6657730382026,5.61830981725531,65,279428
36,2,AK, Alaska,2020-02-26,4,7.36447027483981,2.94101695581236,-99.6641223544464,0.00335877645553584,1,-99.6565074009114,0.00343492599088596,-0.00761495353501118,-2.21691924519404,0,0,0,0,0,2020-03-29,1,10,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,731545,710231,0.710231006145477,0.731544971466064,0.345957781445904,0.545900831557357,TRUE,rep,male,FALSE,FALSE,TRUE,FALSE,70.1058529747853,5.17067895347474,0.954234206487673,2.77363142725648,10.7109421072249,14.0935475008443,7.63562357709208,6.76381084708629,3.22511212645659,4.56572981505041,2.2397292515745,1.15617557349423,6.83223292204258,14.6657730382026,5.61830981725531,65,279428
37,2,AK, Alaska,2020-02-27,5,6.97401076230086,5.25161739632421,-99.6253583407644,0.00374641659235553,1,-99.6565074009114,0.00343492599088596,0.0311490601469586,9.06833516343752,0,0,0,0,0,2020-03-29,1,10,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,731545,710231,0.710231006145477,0.731544971466064,0.345957781445904,0.545900831557357,TRUE,rep,male,FALSE,FALSE,TRUE,FALSE,70.1058529747853,5.17067895347474,0.954234206487673,2.77363142725648,10.7109421072249,14.0935475008443,7.63562357709208,6.76381084708629,3.22511212645659,4.56572981505041,2.2397292515745,1.15617557349423,6.83223292204258,14.6657730382026,5.61830981725531,65,279428
38,2,AK, Alaska,2020-02-28,6,6.39651923914004,6.49908846267193,-99.5608479011747,0.00439152098825313,1,-99.6565074009114,0.00343492599088596,0.0956594997367262,27.8490715638515,0,0,0,0,0,2020-03-29,1,10,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,731545,710231,0.710231006145477,0.731544971466064,0.345957781445904,0.545900831557357,TRUE,rep,male,FALSE,FALSE,TRUE,FALSE,70.1058529747853,5.17067895347474,0.954234206487673,2.77363142725648,10.7109421072249,14.0935475008443,7.63562357709208,6.76381084708629,3.22511212645659,4.56572981505041,2.2397292515745,1.15617557349423,6.83223292204258,14.6657730382026,5.61830981725531,65,279428
