"zip","coastal"
"38221",FALSE
"37377",FALSE
"37321",FALSE
"38425",FALSE
"37043",FALSE
"38036",FALSE
"37616",FALSE
"38139",FALSE
"37036",FALSE
"77656",FALSE
"77465",FALSE
"75672",FALSE
"76904",FALSE
"75287",FALSE
"78389",FALSE
"78621",FALSE
"76201",FALSE
"78150",FALSE
"78612",FALSE
"75132",FALSE
"79733",FALSE
"75852",FALSE
"76834",FALSE
"75962",FALSE
"78946",FALSE
"79699",FALSE
"79414",FALSE
"76686",FALSE
"84647",FALSE
"84751",FALSE
"84701",FALSE
"84018",FALSE
"05446",FALSE
"05079",FALSE
"05062",FALSE
"23868",FALSE
"22971",FALSE
"24651",FALSE
"22630",FALSE
"23708",FALSE
"23009",FALSE
"23038",FALSE
"22185",FALSE
"23884",FALSE
"22727",FALSE
"98597",FALSE
"98284",FALSE
"99122",FALSE
"98252",FALSE
"99151",FALSE
"98858",FALSE
"33472",FALSE
"33136",FALSE
"30326",FALSE
"30756",FALSE
"30014",FALSE
"31553",FALSE
"31747",FALSE
"96727",FALSE
"96740",FALSE
"83833",FALSE
"83677",FALSE
"83615",FALSE
"83801",FALSE
"60176",FALSE
"60553",FALSE
"62707",FALSE
"61882",FALSE
"60602",FALSE
"61572",FALSE
"60654",FALSE
"46968",FALSE
"47123",FALSE
"46786",FALSE
"47361",FALSE
"46961",FALSE
"50430",FALSE
"50035",FALSE
"50032",FALSE
"52657",FALSE
"51554",FALSE
"50127",FALSE
"67138",FALSE
"67505",FALSE
"66203",FALSE
"42276",FALSE
"40033",FALSE
"42754",FALSE
"41501",FALSE
"41085",FALSE
"41339",FALSE
"40056",FALSE
"41526",FALSE
"41465",FALSE
"40472",FALSE
"70655",FALSE
"70085",FALSE
"71331",FALSE
"70065",FALSE
"04464",FALSE
"04354",FALSE
"04057",FALSE
"04231",FALSE
"04739",FALSE
"95370",FALSE
"31631",FALSE
"30633",FALSE
"40177",FALSE
"61111",FALSE
"71403",FALSE
"04019",TRUE
"30145",FALSE
"83445",FALSE
"04413",FALSE
"47620",FALSE
"66603",FALSE
"41721",FALSE
"01529",FALSE
"04066",TRUE
"49892",FALSE
"55606",TRUE
"55771",FALSE
"39355",FALSE
"21071",FALSE
"59829",FALSE
"59724",FALSE
"59739",FALSE
"69343",FALSE
"48059",TRUE
"89043",FALSE
"08212",TRUE
"87461",FALSE
"10280",FALSE
"11023",FALSE
"27824",FALSE
"03033",FALSE
"43613",FALSE
"08822",FALSE
"97476",TRUE
"97520",FALSE
"97907",FALSE
"14219",TRUE
"57724",FALSE
"38041",FALSE
"11365",FALSE
"27302",FALSE
"58772",FALSE
"77979",FALSE
"08270",TRUE
"24202",FALSE
"24620",FALSE
"17009",FALSE
"18058",FALSE
"99402",FALSE
"98620",FALSE
"26767",FALSE
"24934",FALSE
"19122",FALSE
"24740",FALSE
"25661",FALSE
"54313",TRUE
"54629",FALSE
"82084",FALSE
"35565",FALSE
"35579",FALSE
"35446",FALSE
"36022",FALSE
"36474",FALSE
"36922",FALSE
"99636",FALSE
"99738",FALSE
"85390",FALSE
"71933",FALSE
"71832",FALSE
"72040",FALSE
"71603",FALSE
"72857",FALSE
"72601",FALSE
"72010",FALSE
"71852",FALSE
"71753",FALSE
"72006",FALSE
"95206",FALSE
"94513",FALSE
"90805",FALSE
"95983",FALSE
"90405",TRUE
"93927",FALSE
"91008",FALSE
"93526",FALSE
"90067",FALSE
"92407",FALSE
"93064",FALSE
"92227",FALSE
"95139",FALSE
"95697",FALSE
"96075",FALSE
"92332",FALSE
"81089",FALSE
"80024",FALSE
"06256",FALSE
"06232",FALSE
"06409",FALSE
"19716",FALSE
"45106",FALSE
"43138",FALSE
"44101",FALSE
"43735",FALSE
"45328",FALSE
"45782",FALSE
"43844",FALSE
"43151",FALSE
"45868",FALSE
"43117",FALSE
"74046",FALSE
"73003",FALSE
"73832",FALSE
"73170",FALSE
"97436",FALSE
"97487",FALSE
"15532",FALSE
"15730",FALSE
"15421",FALSE
"15139",FALSE
"19435",FALSE
"16868",FALSE
"15004",FALSE
"15056",FALSE
"16677",FALSE
"19536",FALSE
"15290",FALSE
"18218",FALSE
"17247",FALSE
"15081",FALSE
"15449",FALSE
"29506",FALSE
"29651",FALSE
"29449",FALSE
"29340",FALSE
"29168",FALSE
"29540",FALSE
"29302",FALSE
"29659",FALSE
"29373",FALSE
"57076",FALSE
"37871",FALSE
"37828",FALSE
"37330",FALSE
"38583",FALSE
"37887",FALSE
"38077",FALSE
"38029",FALSE
"77630",FALSE
"76234",FALSE
"79512",FALSE
"75645",FALSE
"75938",FALSE
"75432",FALSE
"75785",FALSE
"75969",FALSE
"76653",FALSE
"75109",FALSE
"78503",FALSE
"78359",FALSE
"20755",FALSE
"02184",FALSE
"01850",FALSE
"48051",FALSE
"48071",FALSE
"48141",FALSE
"48229",FALSE
"49733",FALSE
"48035",FALSE
"56710",FALSE
"56621",FALSE
"55114",FALSE
"55339",FALSE
"55967",FALSE
"38967",FALSE
"39067",FALSE
"38618",FALSE
"38723",FALSE
"38731",FALSE
"39059",FALSE
"65803",FALSE
"64065",FALSE
"63053",FALSE
"65566",FALSE
"63117",FALSE
"59823",FALSE
"59752",FALSE
"59743",FALSE
"59404",FALSE
"59318",FALSE
"59072",FALSE
"59248",FALSE
"59213",FALSE
"68382",FALSE
