"county_fips","lon","lat","area_ha_2001","developed_ha_2001","wetland_ha_2001","wetland_herb_ha_2001","wetland_woody_ha_2001","wetland_riparian_250_ha_2001","wetland_riparian_500_ha_2001","wetland_riparian_750_ha_2001","wetland_riparian_1000_ha_2001","wetland_riparian_1250_ha_2001","wetland_riparian_1500_ha_2001","area_ha_2016","developed_ha_2016","wetland_ha_2016","wetland_herb_ha_2016","wetland_woody_ha_2016","wetland_riparian_250_ha_2016","wetland_riparian_500_ha_2016","wetland_riparian_750_ha_2016","wetland_riparian_1000_ha_2016","wetland_riparian_1250_ha_2016","wetland_riparian_1500_ha_2016","claims_2001_5yr","CRS_2001_5yr","claims_2016_5yr","CRS_2016_5yr","population_2000","income_2000","housing_units_2000","housing_value_2000","population_2016","income_2016","housing_units_2016","housing_value_2016","wetland_2001_2016","wetland_gain","wetland_loss","claims_2001_2016","developed_2001_2016","income_2001_2016","population_2001_2016","housing_units_2001_2016","housing_value_2001_2016","CRS_2001_2016","state_fips","developed_2001_bin1","developed_2001_bin2","developed_2001_bin3","developed_2001_bin4","developed_2016_bin1","developed_2016_bin2","developed_2016_bin3","developed_2016_bin4","developed_2001_2016_bin1","developed_2001_2016_bin2","developed_2001_2016_bin3","developed_2001_2016_bin4","developed_2001_spline1","developed_2001_spline2","developed_2001_spline3","developed_2001_spline4","developed_2016_spline1","developed_2016_spline2","developed_2016_spline3","developed_2016_spline4","developed_2001_2016_spline1","developed_2001_2016_spline2","developed_2001_2016_spline3","developed_2001_2016_spline4","policies_2001","policies_2016","policies_2001_2016"
"02150",-153.9538633,57.2707746,3113632.59635294,0,0,0,0,0,0,0,0,0,0,3113632.59635294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13913,54636,5159,152800,13649,78281,5405,275000,0,0,0,0,0,23645,-264,246,122200,0,"02",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02158",-163.1909034,62.2830603,5095239.79411765,0,0,0,0,0,0,0,0,0,0,5095239.79411765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,8198,35539,2225,76000,0,0,0,0,0,NA,NA,NA,NA,0,"02",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02164",-156.4141411,58.1086934,8526861.97870588,0,0,0,0,0,0,0,0,0,0,8526861.97870588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1823,36442,1557,91600,1375,46406,1421,120200,0,0,0,0,0,9964,-448,-136,28600,0,"02",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02170",-149.6175617,62.2790749,6541685.65164706,0,0,0,0,0,0,0,0,0,0,6541685.65164706,0,0,0,0,0,0,0,0,0,0,1283.016,0,1042.486,0,59322,51221,27329,122500,103464,75905,41756,243000,0,0,0,-240.53,0,24684,44142,14427,120500,0,"02",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,2.6
"02180",-164.1889119,64.7836858,7324142.88,0,0,0,0,0,0,0,0,0,0,7324142.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9196,41250,3649,79000,9925,58987,4078,149600,0,0,0,0,0,17737,729,429,70600,0,"02",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,3.2
"02185",-153.4728302,69.4493427,24588687.6038824,0,0,0,0,0,0,0,0,0,0,24588687.6038824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7385,63173,2538,113900,9797,75431,2583,143000,0,0,0,0,0,12258,2412,45,29100,0,"02",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6
"02188",-160.0210864,67.0050655,10520224.4442353,0,0,0,0,0,0,0,0,0,0,10520224.4442353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7208,45976,2540,94900,7734,62949,2741,131400,0,0,0,0,0,16973,526,201,36500,0,"02",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,1.6
"02195",-133.0085979,57.1124581,995562.304941176,0,0,0,0,0,0,0,0,0,0,995562.304941176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,3255,66907,1762,213100,0,0,0,0,0,NA,NA,NA,NA,0,"02",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02198",-133.1623885,55.6827733,2816738.99682353,0,0,0,0,0,0,0,0,0,0,2816738.99682353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,6474,54191,3428,172700,0,0,0,0,0,NA,NA,NA,NA,0,"02",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02220",-135.3673965,57.1932044,1246229.84682353,0,0,0,0,0,0,0,0,0,0,1246229.84682353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8835,51901,3650,174700,8738,71534,4199,349300,0,0,0,0,0,19633,-97,549,174600,0,"02",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,7.4
"02230",-135.3354181,59.5750974,120178.316470588,0,0,0,0,0,0,0,0,0,0,120178.316470588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1061,72237,647,314500,0,0,0,0,0,NA,NA,NA,NA,0,"02",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02240",-143.2186282,63.8649972,6489999.03705882,0,0,0,0,0,0,0,0,0,0,6489999.03705882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6174,38776,3225,90900,6876,71541,3909,184000,0,0,0,0,0,32765,702,684,93100,0,"02",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02261",-145.0231406,61.3498403,10447659.0758824,0,0,0,0,0,0,0,0,0,0,10447659.0758824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10195,48734,5148,117400,9301,82306,6178,229800,0,0,0,0,0,33572,-894,1030,112400,0,"02",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,6.6
"02275",-132.0267878,56.1807793,896671.809176471,0,0,0,0,0,0,0,0,0,0,896671.809176471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,2484,57583,1481,212600,0,0,0,0,0,NA,NA,NA,NA,0,"02",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02282",-140.4145657,60.0198721,2450800.69411765,0,0,0,0,0,0,0,0,0,0,2450800.69411765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,808,46786,499,97600,689,65833,413,169300,0,0,0,0,0,19047,-119,-86,71700,0,"02",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02290",-151.5778778,65.3757158,38277931.2628236,0,0,0,0,0,0,0,0,0,0,38277931.2628236,0,0,0,0,0,0,0,0,0,0,0,0,565.068,0,6551,28666,3917,62000,5415,40000,4087,77700,0,0,0,565.068,0,11334,-1136,170,15700,0,"02",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2,11.2
"04001",-109.4901722,35.385084,2905559.27294118,5457.43447058823,9149.69682352941,5290.22541176471,3859.47141176471,1906.20952941176,3071.61952941176,4116.84458823529,4920.90458823529,5554.95458823529,6131.1705882353,2905559.27294118,5718.01941176471,9239.06682352941,5361.63741176471,3877.42941176471,1968.66952941176,3145.86952941176,4202.43458823529,5009.55458823529,5643.06458823529,6219.0105882353,71.994,0,0,0,69423,23344,31621,39200,71522,32963,32809,62300,89.3700000000008,89.3700000000008,0,-71.994,260.584941176471,9619,2099,1188,23100,0,"04",0,0,0,1,0,0,0,1,0,0,0,0,0.971708962022315,0.0235586947821798,0.00937770586321862,-0.00464536266771357,0.969947680523314,0.0250146351454573,0.00996374331440125,-0.00492605898317261,-0.00176128149900079,0.00145594036327748,0.000586037451182625,-0.00028069631545904,34.8,7.2,-27.6
